c_mpio,SA10_1,SA10_2,SA10_3,SA10_4,seguridad,marginal,inseguridad,menor_calidad,disminuir_porciones,SA10_5,SA10_6,SA10_7,SA10_8,SA_MENORES,SA10_9,SA10_10,SA10_11,SA10_12,SA10_13,SA10_14,SA10_15,LLAVE_HOGAR,puntaje,respuestas_sa_1mod,LLAVE_PERSONA,c_depto,respuestas_r24mod,Cultivo_0.0,Cultivo_1.0,Cultivo_2.0,Cultivo_3.0,Cultivo_4.0,Cultivo_5.0,Cultivo_6.0,Cultivo_7.0,Frecuencia_sa_2,respuestas_sa_2,Alimento_0.0,Alimento_1.0,Alimento_2.0,Alimento_3.0,Frecuencia_sa_3,respuestas_sa_3,noacueducto,noenergia,Refrigerador,Ingresos,respuestas_pts,Ing_dest_alim,respuestas_pts_2,FERRITINA,VITAMINAA,ZINC,Sexo,Edad,respuestas_vitaminas,sexo,Huevos,Pescado,Plat_Tub,Frutas,Azucar,Grasas,Carnes,Lacteos,Cereales,Verduras,Legumbres,respuestas_pisnsp
19001,3064.0,544.0,1216.0,544.0,3736.0,2520.0,5368.0,1216.0,544.0,544.0,544.0,544.0,0.0,5488.0,544.0,544.0,0.0,0.0,544.0,0.0,0.0,207402392,8632.0,5488,20740255824,104272,5488,720.0,2224.0,0.0,0.0,1068.0,504.0,0.0,972.0,4072.0,5488,0.0,1756.0,3732.0,0.0,3732.0,5488,5488.0,5488.0,5488.0,3064.0,5488,3136.0,5488,394924.79999999783,115928.69124949482,410027.3622743045,9760.0,94728.0,5488,9760.0,5488.0,3064.0,5488.0,4128.0,5488.0,0.0,4672.0,5488.0,5488.0,4128.0,3736.0,5488
19075,11642.0,0.0,662.0,3966.0,12506.0,0.0,16270.0,11642.0,11186.0,0.0,8424.0,0.0,0.0,18364.0,438.0,654.0,0.0,548.0,654.0,0.0,0.0,696167098,26988.0,18364,69616785358,348916,18364,5096.0,8514.0,0.0,32.0,1736.0,764.0,324.0,1898.0,13656.0,18364,1146.0,11555.0,5663.0,0.0,10381.0,18364,18364.0,18364.0,14968.0,11510.0,18364,540.0,18364,369633.2000000401,432080.048026048,1337909.831016453,30492.0,273022.0,18364,30492.0,18364.0,7840.0,18148.0,16906.0,18364.0,0.0,18364.0,10264.0,18364.0,13066.0,10364.0,18364
19100,4457.0,738.0,1113.0,492.0,4717.0,2866.0,6800.0,1032.0,998.0,738.0,1619.0,260.0,260.0,5691.0,492.0,492.0,0.0,260.0,260.0,0.0,0.0,216477434,11181.0,5691,21647764909,108129,5691,56.0,2253.0,0.0,0.0,1065.0,0.0,784.0,1533.0,4357.0,5691,0.0,3208.0,2483.0,0.0,2823.0,5691,5691.0,5061.0,3268.0,850.0,5691,2817.0,5691,223199.40000001647,132960.97582418108,409230.1600426062,9806.0,86196.0,5691,9806.0,5349.0,294.0,3819.0,3870.0,5691.0,0.0,4698.0,4958.0,5691.0,3405.0,3592.0,5691
19517,6408.0,1368.0,4176.0,1368.0,6408.0,2232.0,13320.0,2212.0,0.0,1368.0,1368.0,1368.0,0.0,19586.0,1368.0,1368.0,1368.0,1368.0,1368.0,1368.0,0.0,747501940,25632.0,19586,74750281674,372134,19586,2042.0,8439.0,0.0,560.0,3665.0,2810.0,1274.0,796.0,14259.0,19586,0.0,11451.0,8135.0,0.0,8618.0,19586,17426.0,17594.0,9854.0,6012.0,19586,14588.0,19586,639272.4000000203,457590.2643874914,1450492.4224879353,25798.0,268814.0,19586,25798.0,18114.0,12380.0,18818.0,16754.0,19586.0,1560.0,19586.0,16328.0,19586.0,16670.0,10488.0,19586
19532,11106.0,1376.0,7736.0,6760.0,11106.0,2234.0,26978.0,8336.0,5424.0,1048.0,2524.0,4812.0,900.0,11718.0,5624.0,6760.0,2436.0,1244.0,3584.0,3532.0,0.0,449460518,59442.0,11718,44946100220,222642,11718,1316.0,5724.0,200.0,1358.0,1042.0,780.0,172.0,1126.0,1500.0,11718,0.0,6654.0,4218.0,846.0,4696.0,11718,11634.0,11634.0,9594.0,10344.0,11718,11358.0,11718,414387.00000000204,280164.69808710995,905982.9509309283,16936.0,111454.0,11718,16936.0,11622.0,4912.0,10404.0,8682.0,11538.0,2556.0,11718.0,10518.0,11718.0,5842.0,3636.0,11718
19693,19636.0,8257.0,16549.0,19405.0,20221.0,816.0,63847.0,17496.0,10744.0,1560.0,18520.0,8904.0,1560.0,22981.0,8317.0,19405.0,0.0,1872.0,9217.0,3072.0,0.0,884399922,136274.0,22981,88440084560,436639,22981,4779.0,2034.0,0.0,3422.0,4031.0,6059.0,1877.0,779.0,10784.0,22981,0.0,14811.0,5240.0,2930.0,11191.0,22981,22165.0,22981.0,4356.0,22165.0,22981,21757.0,22981,534662.600000174,603225.8627999901,1731189.5076909764,27417.0,250091.0,22981,27417.0,21421.0,3636.0,22396.0,21421.0,22396.0,4920.0,21340.0,18021.0,22981.0,19656.0,16060.0,22981
19698,224.0,0.0,0.0,0.0,224.0,0.0,224.0,0.0,0.0,224.0,224.0,0.0,0.0,224.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8649536,672.0,224,864954496,4256,224,0.0,96.0,0.0,0.0,0.0,32.0,32.0,64.0,0.0,224,0.0,224.0,0.0,0.0,0.0,224,224.0,224.0,0.0,0.0,224,224.0,224,4771.20000000002,5355.797150997165,16616.504676616893,448.0,1568.0,224,448.0,224.0,0.0,224.0,224.0,224.0,0.0,224.0,224.0,224.0,224.0,224.0,224
19807,4750.0,0.0,0.0,0.0,4750.0,4680.0,4750.0,4750.0,70.0,0.0,0.0,0.0,70.0,11158.0,0.0,0.0,0.0,0.0,0.0,0.0,70.0,458420522,4890.0,11846,45842123154,225074,11846,1618.0,6470.0,0.0,42.0,953.0,1456.0,0.0,1307.0,8764.0,11846,0.0,6626.0,5220.0,0.0,8136.0,11846,11846.0,11846.0,11720.0,484.0,11846,3940.0,11846,453634.5999999119,285296.4818884947,904950.097938741,12702.0,129072.0,11846,12702.0,11846.0,0.0,9596.0,9400.0,11846.0,0.0,11846.0,11516.0,11846.0,10080.0,4214.0,11846
19809,9347.0,9347.0,9347.0,9347.0,9347.0,0.0,37388.0,0.0,0.0,6563.0,9347.0,3171.0,6254.0,9347.0,9347.0,9347.0,6563.0,9347.0,6563.0,3076.0,3148.0,362918201,110114.0,9347,36291864958,177593,9347,2469.0,3156.0,0.0,276.0,1294.0,0.0,0.0,2152.0,5088.0,9347,2888.0,5079.0,1380.0,0.0,1380.0,9347,394.0,6563.0,2844.0,9263.0,9347,7892.0,9347,221336.99999999648,217434.5966626028,715249.517597649,14439.0,165719.0,9347,14439.0,9235.0,9347.0,5227.0,9347.0,9347.0,5860.0,8858.0,9347.0,9347.0,3076.0,2963.0,9347
