TIPO_REG,PAIS,P_DEPTO,P_MUNIC,UC_UO,ENCUESTA,COD_VEREDA,ID_MAQ,P_S9P118,P_S9P119,P_S9P120
9,170,19,19001,00170000,082026259,19001014,3,441230300,0,1
9,170,19,19001,00170001,000113637,19001019,1,441290101,0,1
9,170,19,19001,00170001,000114853,19001014,1,,,
9,170,19,19001,00170001,000114927,19001011,1,432320300,1,1
9,170,19,19001,00174184,000114862,19001014,1,441230300,0,2
9,170,19,19001,00180000,081410749,19001021,1,441230401,1,0
9,170,19,19001,00180000,081410749,19001021,2,461130100,1,0
9,170,19,19001,00180000,081410749,19001021,4,441230300,1,0
9,170,19,19001,00180000,082024751,19001020,1,441230300,0,1
9,170,19,19001,00180000,082025990,19001014,1,9999999915,1,0
9,170,19,19001,00180000,501002580,19001002,1,482510000,20,0
9,170,19,19001,00180000,501002580,19001002,3,444400800,1,0
9,170,19,19001,00180000,501002580,19001002,4,441989900,3,0
9,170,19,19001,00180000,501002580,19001002,5,441980200,3,0
9,170,19,19001,00180000,501002580,19001002,6,441980400,3,0
9,170,19,19001,00180001,000113327,19001019,1,9999999915,0,1
9,170,19,19001,00190000,087000686,19001004,1,,,
9,170,19,19001,00200000,081301206,19001022,1,441230300,0,1
9,170,19,19001,00200001,022713140,19001022,1,9999999915,0,1
9,170,19,19001,00208147,000113777,19001019,1,9999999915,0,1
9,170,19,19001,00210000,081235056,19001022,1,441230300,0,1
9,170,19,19001,00220000,001334528,19001014,1,441230300,0,1
9,170,19,19001,00220000,082025906,19001022,1,441230300,1,0
9,170,19,19001,00220000,082025906,19001022,2,9999999915,0,1
9,170,19,19001,00220001,000114472,19001022,1,,,
9,170,19,19001,00220001,022712920,19001002,1,441230401,1,0
9,170,19,19001,00220001,022712920,19001002,3,439110800,0,0
9,170,19,19001,00220001,022712920,19001002,4,441310100,0,1
9,170,19,19001,00240000,081235141,19001018,1,441230401,0,1
9,170,19,19001,00240000,081301204,19001022,1,9999999915,0,1
9,170,19,19001,00250000,081221853,19001018,1,441230300,0,1
9,170,19,19001,00250000,082025843,19001012,1,491100000,0,1
9,170,19,19001,00250000,082026158,19001012,1,441230300,1,0
9,170,19,19001,00250000,082026158,19001012,3,432200900,1,0
9,170,19,19001,00250000,082066158,19001012,1,441500300,1,0
9,170,19,19001,00250000,082066158,19001012,3,441230300,1,0
9,170,19,19001,00250001,000114919,19001012,1,9999999915,1,0
9,170,19,19001,00250001,000114919,19001012,3,441230300,1,0
9,170,19,19001,00260000,001221789,19001019,1,9999999915,1,0
9,170,19,19001,00260000,087024922,19001018,1,,,
9,170,19,19001,00260001,000113802,19001019,1,441230401,0,1
9,170,19,19001,00270001,022712904,19001010,1,9999999915,5,0
9,170,19,19001,00279760,000114565,19001022,1,,,
9,170,19,19001,00280000,081235011,19001018,1,441230300,1,0
9,170,19,19001,00280000,081235011,19001018,3,431100100,1,0
9,170,19,19001,00280000,082025907,19001022,1,441230300,1,0
9,170,19,19001,00300000,081410506,19001018,1,9999999915,1,0
9,170,19,19001,00300000,081410506,19001018,3,441230300,1,0
9,170,19,19001,00310000,081207034,19001011,1,,,
9,170,19,19001,00310001,000113934,19001010,1,9999999915,0,2
9,170,19,19001,00310001,000113934,19001010,3,461130100,1,0
9,170,19,19001,00320000,082025980,19001012,1,432320300,0,1
9,170,19,19001,00320000,082025980,19001012,2,441230300,1,0
9,170,19,19001,00320001,000114768,19001007,1,9999999915,0,60
9,170,19,19001,00320001,022713326,19001002,1,9999999915,0,1
9,170,19,19001,00330000,002028511,19001015,1,,,
9,170,19,19001,00330000,009989712,19001016,1,,,
9,170,19,19001,00330000,082025991,19001014,1,9999999915,1,0
9,170,19,19001,00330000,082025992,19001014,1,9999999915,0,1
9,170,19,19001,00330001,022712905,19001010,1,9999999915,0,6
9,170,19,19001,00350000,002025989,19001014,1,9999999915,0,1
9,170,19,19001,00350000,081235005,19001022,1,441230300,0,1
9,170,19,19001,00350000,081567609,19001001,1,,,
9,170,19,19001,00350001,000114856,19001014,1,9999999915,0,1
9,170,19,19001,00350001,022712906,19001010,1,432200900,1,0
9,170,19,19001,00350001,022712906,19001010,3,441230300,3,0
9,170,19,19001,00360000,082024932,19001002,1,441230300,1,0
9,170,19,19001,00380000,081221818,19001011,1,441230300,1,0
9,170,19,19001,00380001,000114780,19001011,1,441230300,1,0
9,170,19,19001,00390000,081235065,19001017,1,441230401,0,1
9,170,19,19001,00390000,081382698,19001015,1,441230300,1,0
9,170,19,19001,00390000,082024477,19001999,1,9999999915,0,1
9,170,19,19001,00390000,082026354,19001001,1,432320300,1,1
9,170,19,19001,00390001,000114033,19001001,1,9999999915,0,1
9,170,19,19001,00390001,000114033,19001001,3,432320300,1,1
9,170,19,19001,00390001,000114033,19001001,4,441500300,1,0
9,170,19,19001,00400000,081235140,19001018,1,441230300,1,0
9,170,19,19001,00410000,002064817,19001015,1,441230300,1,0
9,170,19,19001,00410000,002064817,19001015,3,432320300,0,1
9,170,19,19001,00410000,002064817,19001015,4,432200900,1,0
9,170,19,19001,00410000,081235064,19001017,1,441230401,0,1
9,170,19,19001,00410000,081567698,19001001,1,,,
9,170,19,19001,00420000,007274431,19001011,1,,,
9,170,19,19001,00430000,082026145,19001015,1,432320300,1,0
9,170,19,19001,00430000,082026145,19001015,2,441230300,2,0
9,170,19,19001,00430001,000114032,19001001,1,9999999915,0,1
9,170,19,19001,00430001,022713284,19001022,1,9999999915,0,1
9,170,19,19001,00440000,081273254,19001002,1,,,
