,DPTO_CCDGO,MPIO_CNMBR,MPIO_CCNCT,DPTO_CNMBR,MPM,MPM_CAB,MPM_CPRD,AFBMO_TOT,AFBMO_CAB,AFBMO_CPRD,BLE_TOT,BLE_CAB,BLE_CPRD,BSCPI_TOT,BSCPI_CAB,BSCPI_CPRD,BASS_TOT,BASS_CAB,BASS_CPRD,TDE_TOT,TDE_CAB,TDE_CPRD,HC_TOT,HC_CAB,HC_CPRD,IEE_TOT,IEE_CAB,IEE_CPRD,IE_TOT,IE_CAB,IE_CPRD,MIPE_TOT,MIPE_CAB,MIPE_CPRD,MIP_TOT,MIP_CAB,MIP_CPRD,RE_TOT,RE_CAB,RE_CPRD,SAFAM_TOT,SAFAM_CAB,SAFAM_CPRD,SAS_TOT,SAS_CAB,SAS_CPRD,TRINF_TOT,TRINF_CAB,TRINF_CPRD,TRIML_TOT,TRIML_CAB,TRIML_CPRD,Municipality code
135,52,COLÓN,52203,NARIÑO,42.4,14.5,46.3,23.1,10.5,25.1,78.4,47.4,83.2,1.1,1.1,1.1,4.7,2.6,5.0,37.9,27.6,39.5,3.3,6.3,2.8,11.8,4.2,12.9,5.6,2.1,6.1,1.1,1.3,1.1,38.0,5.0,43.1,13.4,7.1,14.4,21.4,0.8,24.6,7.4,13.9,6.3,2.8,0.5,3.2,93.4,83.9,94.9,52203
136,52,NARIÑO,52480,NARIÑO,40.8,34.0,53.4,11.2,11.7,10.3,71.2,65.3,82.0,1.2,1.0,1.5,1.4,1.7,1.0,47.9,48.2,47.2,19.0,21.5,14.3,36.3,9.6,84.3,1.7,1.4,2.3,1.7,2.5,0.2,16.0,11.6,24.0,18.2,18.0,18.6,3.6,1.6,7.2,9.7,9.8,9.7,0.6,0.5,0.6,90.1,89.8,90.5,52480
137,52,OSPINA,52506,NARIÑO,28.9,18.7,33.1,11.8,8.2,13.3,75.8,62.7,81.2,0.8,0.3,1.0,1.5,1.1,1.6,40.2,42.1,39.4,12.7,16.7,11.1,7.9,3.3,9.8,3.8,2.2,4.5,0.0,0.0,0.1,30.3,10.0,38.6,12.8,12.3,13.1,3.5,0.8,4.6,5.8,7.2,5.3,0.8,0.8,0.7,92.1,89.2,93.3,52506
138,52,SAPUYES,52720,NARIÑO,43.0,40.2,43.7,12.5,8.2,13.7,80.4,71.9,82.7,0.7,0.6,0.8,2.3,0.8,2.7,54.1,58.1,53.0,17.8,26.9,15.3,8.3,4.0,9.5,2.2,0.6,2.6,0.2,0.2,0.2,31.5,35.5,30.4,17.2,14.4,18.0,8.7,0.4,11.0,7.1,7.4,7.0,0.9,0.0,1.1,94.1,91.6,94.8,52720
139,52,TAMINANGO,52786,NARIÑO,36.1,22.6,40.3,26.1,15.4,29.6,74.2,55.7,80.2,0.9,1.6,0.7,1.9,1.7,2.0,33.3,34.0,33.1,8.6,12.3,7.4,13.0,5.6,15.4,2.6,2.7,2.5,0.8,0.4,0.9,24.3,5.9,30.2,14.4,10.1,15.7,16.0,1.2,20.8,9.6,12.1,8.8,1.7,0.8,1.9,93.9,89.9,95.2,52786
140,52,TANGUA,52788,NARIÑO,46.0,29.5,52.0,16.0,10.8,18.0,79.2,58.3,87.4,1.2,0.7,1.4,1.4,0.4,1.8,57.1,54.5,58.1,15.7,19.0,14.4,14.7,5.0,18.5,5.4,2.2,6.7,0.1,0.1,0.1,31.3,12.8,38.5,15.3,15.6,15.2,8.0,0.6,10.9,8.1,10.6,7.1,0.7,0.2,0.9,89.5,84.5,91.4,52788
141,52,CHACHAGÜÍ,52240,NARIÑO,32.2,24.2,36.4,18.2,14.8,20.1,68.8,56.7,75.4,1.3,1.4,1.2,4.6,1.7,6.2,36.8,36.4,37.1,13.0,16.9,11.0,4.1,4.5,3.9,2.6,1.7,3.0,1.6,2.7,1.0,9.6,2.7,13.3,16.7,15.3,17.5,6.6,0.9,9.7,12.3,13.7,11.6,1.2,0.4,1.6,89.1,88.7,89.3,52240
142,52,EL PEÑOL,52254,NARIÑO,43.0,18.6,48.7,24.6,12.3,27.5,80.4,59.4,85.3,0.9,0.2,1.0,5.4,6.9,5.0,30.2,25.2,31.4,6.0,10.0,5.0,19.7,2.7,23.8,4.2,1.1,5.0,1.8,0.9,2.0,44.7,3.3,54.5,12.7,17.2,11.7,36.8,0.4,45.4,6.8,6.5,6.9,1.5,0.9,1.6,92.9,81.9,95.5,52254
143,52,EL TABLÓN DE GÓMEZ,52258,NARIÑO,50.4,24.6,53.6,15.5,12.5,15.9,76.0,50.8,79.2,0.6,0.4,0.7,8.2,4.4,8.6,48.8,40.7,49.9,9.0,15.4,8.1,34.9,7.6,38.3,5.5,3.4,5.8,1.0,1.1,1.0,52.6,17.1,57.0,18.3,12.0,19.0,46.4,2.5,51.9,7.2,11.6,6.7,2.1,0.9,2.3,94.6,86.0,95.7,52258
144,52,TÚQUERRES,52838,NARIÑO,32.5,18.1,42.3,11.7,6.9,15.3,71.5,55.6,83.3,1.0,0.9,1.1,4.2,4.2,4.1,35.1,29.5,39.2,13.9,15.6,12.6,18.8,3.7,29.9,3.7,2.0,5.0,0.6,0.7,0.5,19.2,2.2,31.8,17.7,15.7,19.2,9.8,0.5,16.6,9.1,10.3,8.1,1.5,0.7,2.1,93.4,90.3,95.6,52838
